 lo;la;Name 
 10.8415637;59.9172966;Lohøgda barnehage;55918 
 10.8337270;59.8734413;Lopperud barnehage;56560 
 10.8337270;59.8734413;Lopperud barnehage avdeling Paviljongen;58502 
 10.7443698;59.9321647;Lovisenberg barnehage;56330 
 10.8781903;59.9261807;Lutvannskollen barnehage;55914 
 10.8179517;59.9376961;Lykketrollet (tidl. Sørli) familiebarnehage avd. Krokliveien ;58524 
 10.8302209;59.9043860;Lykketrollet barnehage;60589 
 10.8008288;59.9399026;Lykketrollet familiebarnehage (avdeling Eltonveien) ;58491 
 10.7946433;59.9358299;Lykketrollet familiebarnehage (avdeling Åkerøveien);58495 
 10.7843219;59.9561739;Lykketrollet familiebarnehage (Saturnveien);56200 
 10.8302209;59.9499895;Lykketrollet familiebarnehage Anna Rogstadsvei;58493 
 10.8381464;59.8767102;Lykketrollet familiebarnehage avdeling Bogerudveien;58488 
 10.7766387;59.9252552;Lykketrollet familiebarnehage avdeling Frydensgate;56128 
 10.8057968;59.9478025;Lykketrollet familiebarnehage avdeling Kildeveien;58494 
 10.8453093;59.9112649;Lykketrollet familiebarnehage avdeling Stordamsveien;63515 
 10.7657417;59.9208140;Lykketrollet familiebarnehage avdeling Sverdrupsgate;56129 
 10.8358567;59.9039800;Lykketrollet familiebarnehage avdeling Terrasseveien;58628 
 10.7505827;59.9400263;Lykketrollet familiebarnehage avdeling Uelands gate;56287 
 10.8477893;59.8892879;Lykketrollet familiebarnehage avdeling Ulsrudveien;58477 
 10.7585589;59.9496797;Lykketrollet familiebarnehage Hauges vei;56202 
 10.8322188;59.9075782;Lykketrollet familiebarnehage, avd. Dalbakkveien;58480 
 10.7552093;59.9302038;Lykketrollet familiebarnehage, avdeling Sagveien;58576 
 10.7625383;59.9327147;Lykketrollet familiebarnehage, avdeling Vogts gate 32A;58657 
 10.7626005;59.9327886;Lykketrollet familiebarnehage, avdeling Vogts gate 32B;58574 
 10.8080203;59.9414175;Læringsverkstedet Bjerke Panorama;65923 
 10.7959317;59.9537910;Læringsverkstedet Grefsen terrasse barnehage;56166 
 10.7675415;59.9258910;Læringsverkstedet Konfektfabrikken;70849 
 10.7488021;59.9336477;Løkkeberg barnehage;67764 
 10.7350698;59.9367733;Lønnebakken barnehage;56341 
 10.8030243;59.8537180;Lønneberget familiebarnehage (avdeling Alfred);58230 
 10.7997915;59.8512633;Lønneberget familiebarnehage (avdeling Lina);58231 
 10.7827014;59.8858688;Lønneberget familiebarnehage (avdeling Lukas);58232 
 10.8039879;59.8744201;Lønneberget familiebarnehage, avdeling Emil;58614 
 10.7870977;59.9326036;Lørensvingen barnehage;56114 
 10.8357216;59.9420175;Madamløkken barnehage;55955 
 10.6934523;59.9274609;Mads barnehage;58076 
 10.7569485;59.8710766;Malmøya barnehage;58209 
 10.8258891;59.8951584;Mangelberget barnehage;56584 
 10.8049172;59.9012081;Manglerud barnehage;56561 
 10.7564360;59.9432992;Margarinfabrikken barnehage;56288 
 10.7794115;59.8803594;Mariannes Hus familiebarnehage;58233 
 10.7688137;60.0052959;Maridalen barnehage;56171 
 10.7560776;59.9368586;Maridalsveien barnehage;56289 
 10.7243867;59.9348533;Marienlyst Gård barnehage;56320 
 10.7556277;59.9363136;Marihøna familiebarnehage;56290 
 10.8199729;59.8741648;Marmorberget barnehage;56228 
 10.8205525;59.8736797;Marmorslottet familiebarnehage;58615 
 10.8195895;59.9360757;Maurtua familiebarnehage, avd. Edgren;58532 
 10.8141085;59.9330603;Maurtua familiebarnehage, avd. Oddny Olafsen;58534 
 10.7627098;59.9146830;Maurtua gårds- og naturbarnehage;62447 
 10.8487217;59.9428145;Maurtua Private familiebarnehage AS, avd. Beverveien;58529 
 10.8143081;59.9346222;Maurtua Private familiebarnehage AS, avd. Nordalveien;58530 
 10.8139761;59.9317165;Maurtua Private familiebarnehage AS, avd. Rabbeveien;58531 
 10.6516847;59.9499354;Meklenborg barnehage;56466 
 10.7389106;59.9238956;Melkeveien barnehage;56312 
 10.8053814;59.8734395;Merkur familiebarnehage;58234 
 10.6789251;59.9616854;Midtstuen barnehage;56467 
 10.8439822;59.8828199;Mikaelgården steinerbarnehage;58629 
 10.6937919;59.9300887;Monolitten barnehage;56003 
 10.7160912;59.9421982;Montesorri barnehage forskningsparken;56172 
 10.6712717;59.9613802;Montessoribarnehagen Solsikken Gladheim;56504 
 10.6355304;59.9538973;Montessoribarnehagen Solsikken Knerten;56505 
 10.6529016;59.9360106;Montessoribarnehagen Solsikken Lilleputt;56435 
 10.6457473;59.9302997;Montessoribarnehagen Solsikken Lyse;57481 
 10.6939178;59.9427922;Montessoribarnehagen Solsikken Låven;56506 
